C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
C024,R214,00-00-03,77 ST,R,BMT,1/3/20,3:00:00,REGULAR,9998227,9318734
C024,R214,00-00-03,77 ST,R,BMT,1/3/20,7:00:00,REGULAR,9998406,9318762
C024,R214,00-00-03,77 ST,R,BMT,1/3/20,11:00:00,REGULAR,9999042,9318885
C024,R214,00-00-03,77 ST,R,BMT,1/3/20,15:00:00,REGULAR,9999301,9319026
C024,R214,00-00-03,77 ST,R,BMT,1/3/20,19:00:00,REGULAR,9999582,9319353
C024,R214,00-00-03,77 ST,R,BMT,1/3/20,23:00:00,REGULAR,9999708,9319529
R247,R178,01-00-00,77 ST,6,IRT,1/3/20,16:00:00,REGULAR,2608879,11308820
R247,R178,01-00-00,77 ST,6,IRT,12/28/19,0:00:00,REGULAR,2604244,11288526
R247,R178,01-00-00,77 ST,6,IRT,12/28/19,4:00:00,REGULAR,2604279,11288565
R247,R178,01-00-00,77 ST,6,IRT,12/28/19,8:00:00,REGULAR,2604294,11288707
R247,R178,01-00-00,77 ST,6,IRT,12/28/19,12:00:00,REGULAR,2604354,11289119
R247,R178,01-00-00,77 ST,6,IRT,12/28/19,16:00:00,REGULAR,2604528,11289886
R247,R178,01-00-00,77 ST,6,IRT,12/28/19,20:00:00,REGULAR,2604707,11290529
R247,R178,01-00-00,77 ST,6,IRT,12/29/19,0:00:00,REGULAR,2604846,11290826
R247,R178,01-00-00,77 ST,6,IRT,12/29/19,4:00:00,REGULAR,2604872,11290888
R247,R178,01-00-00,77 ST,6,IRT,12/29/19,8:00:00,REGULAR,2604887,11290982
R247,R178,01-00-00,77 ST,6,IRT,12/29/19,12:00:00,REGULAR,2604939,11291417
R247,R178,01-00-00,77 ST,6,IRT,12/29/19,16:00:00,REGULAR,2605064,11292169
R247,R178,01-00-00,77 ST,6,IRT,12/29/19,20:00:00,REGULAR,2605204,11292623
R247,R178,01-00-00,77 ST,6,IRT,12/30/19,0:00:00,REGULAR,2605341,11292800
R247,R178,01-00-00,77 ST,6,IRT,12/30/19,4:00:00,REGULAR,2605365,11292835
R247,R178,01-00-00,77 ST,6,IRT,12/30/19,8:00:00,REGULAR,2605397,11293208
R247,R178,01-00-00,77 ST,6,IRT,12/30/19,12:00:00,REGULAR,2605483,11294509
R247,R178,01-00-00,77 ST,6,IRT,12/30/19,16:00:00,REGULAR,2605699,11295767
R247,R178,01-00-00,77 ST,6,IRT,12/30/19,20:00:00,REGULAR,2606033,11296679
R247,R178,01-00-00,77 ST,6,IRT,12/31/19,0:00:00,REGULAR,2606183,11296926
R247,R178,01-00-00,77 ST,6,IRT,12/31/19,4:00:00,REGULAR,2606224,11296975
R247,R178,01-00-00,77 ST,6,IRT,12/31/19,8:00:00,REGULAR,2606260,11297310
R247,R178,01-00-00,77 ST,6,IRT,12/31/19,12:00:00,REGULAR,2606355,11298333
R247,R178,01-00-00,77 ST,6,IRT,12/31/19,16:00:00,REGULAR,2606629,11299400
R247,R178,01-00-00,77 ST,6,IRT,12/31/19,20:00:00,REGULAR,2606864,11300111
R247,R178,01-00-00,77 ST,6,IRT,1/1/20,0:00:00,REGULAR,2606973,11300430
R247,R178,01-00-00,77 ST,6,IRT,1/1/20,4:00:00,REGULAR,2607054,11300688
R247,R178,01-00-00,77 ST,6,IRT,1/1/20,8:00:00,REGULAR,2607073,11300792
R247,R178,01-00-00,77 ST,6,IRT,1/1/20,12:00:00,REGULAR,2607104,11301004
R247,R178,01-00-00,77 ST,6,IRT,1/1/20,16:00:00,REGULAR,2607192,11301456
R247,R178,01-00-00,77 ST,6,IRT,1/1/20,20:00:00,REGULAR,2607341,11301858
R247,R178,01-00-00,77 ST,6,IRT,1/2/20,0:00:00,REGULAR,2607441,11302011
R247,R178,01-00-00,77 ST,6,IRT,1/2/20,4:00:00,REGULAR,2607461,11302027
R247,R178,01-00-00,77 ST,6,IRT,1/2/20,8:00:00,REGULAR,2607526,11302472
R247,R178,01-00-00,77 ST,6,IRT,1/2/20,12:00:00,REGULAR,2607641,11303567
R247,R178,01-00-00,77 ST,6,IRT,1/2/20,16:00:00,REGULAR,2607894,11304604
R247,R178,01-00-00,77 ST,6,IRT,1/2/20,20:00:00,REGULAR,2608245,11305749
R247,R178,01-00-00,77 ST,6,IRT,1/3/20,0:00:00,REGULAR,2608417,11306028
R247,R178,01-00-00,77 ST,6,IRT,1/3/20,4:00:00,REGULAR,2608443,11306062
R247,R178,01-00-00,77 ST,6,IRT,1/3/20,8:00:00,REGULAR,2608498,11306510
R247,R178,01-00-00,77 ST,6,IRT,1/3/20,12:00:00,REGULAR,2608621,11307779
R247,R178,01-00-00,77 ST,6,IRT,1/3/20,20:00:00,REGULAR,2609192,11310013
R247,R178,01-00-01,77 ST,6,IRT,12/28/19,0:00:00,REGULAR,7414273,26621029
R247,R178,01-00-01,77 ST,6,IRT,12/28/19,4:00:00,REGULAR,7414312,26621048
R247,R178,01-00-01,77 ST,6,IRT,12/28/19,8:00:00,REGULAR,7414328,26621128
R247,R178,01-00-01,77 ST,6,IRT,12/28/19,12:00:00,REGULAR,7414370,26621360
R247,R178,01-00-01,77 ST,6,IRT,12/28/19,16:00:00,REGULAR,7414494,26621888
R247,R178,01-00-01,77 ST,6,IRT,12/28/19,20:00:00,REGULAR,7414644,26622232
R247,R178,01-00-01,77 ST,6,IRT,12/29/19,0:00:00,REGULAR,7414773,26622374
R247,R178,01-00-01,77 ST,6,IRT,12/29/19,4:00:00,REGULAR,7414807,26622402
R247,R178,01-00-01,77 ST,6,IRT,12/29/19,8:00:00,REGULAR,7414821,26622442
R247,R178,01-00-01,77 ST,6,IRT,12/29/19,12:00:00,REGULAR,7414865,26622691
R247,R178,01-00-01,77 ST,6,IRT,12/29/19,16:00:00,REGULAR,7414973,26623141
R247,R178,01-00-01,77 ST,6,IRT,12/29/19,20:00:00,REGULAR,7415103,26623393
R247,R178,01-00-01,77 ST,6,IRT,12/30/19,0:00:00,REGULAR,7415209,26623505
R247,R178,01-00-01,77 ST,6,IRT,12/30/19,4:00:00,REGULAR,7415232,26623518
R247,R178,01-00-01,77 ST,6,IRT,12/30/19,8:00:00,REGULAR,7415258,26623764
R247,R178,01-00-01,77 ST,6,IRT,12/30/19,12:00:00,REGULAR,7415341,26624567
R247,R178,01-00-01,77 ST,6,IRT,12/30/19,16:00:00,REGULAR,7415550,26625396
R247,R178,01-00-01,77 ST,6,IRT,12/30/19,20:00:00,REGULAR,7415838,26625935
R247,R178,01-00-01,77 ST,6,IRT,12/31/19,0:00:00,REGULAR,7415974,26626059
R247,R178,01-00-01,77 ST,6,IRT,12/31/19,4:00:00,REGULAR,7415996,26626077
R247,R178,01-00-01,77 ST,6,IRT,12/31/19,8:00:00,REGULAR,7416028,26626282
R247,R178,01-00-01,77 ST,6,IRT,12/31/19,12:00:00,REGULAR,7416124,26626829
R247,R178,01-00-01,77 ST,6,IRT,12/31/19,16:00:00,REGULAR,7416365,26627410
R247,R178,01-00-01,77 ST,6,IRT,12/31/19,20:00:00,REGULAR,7416593,26627807
R247,R178,01-00-01,77 ST,6,IRT,1/1/20,0:00:00,REGULAR,7416718,26627950
R247,R178,01-00-01,77 ST,6,IRT,1/1/20,4:00:00,REGULAR,7416787,26628067
R247,R178,01-00-01,77 ST,6,IRT,1/1/20,8:00:00,REGULAR,7416806,26628128
R247,R178,01-00-01,77 ST,6,IRT,1/1/20,12:00:00,REGULAR,7416828,26628243
R247,R178,01-00-01,77 ST,6,IRT,1/1/20,16:00:00,REGULAR,7416921,26628483
R247,R178,01-00-01,77 ST,6,IRT,1/1/20,20:00:00,REGULAR,7417017,26628712
R247,R178,01-00-01,77 ST,6,IRT,1/2/20,0:00:00,REGULAR,7417122,26628789
R247,R178,01-00-01,77 ST,6,IRT,1/2/20,4:00:00,REGULAR,7417135,26628794
R247,R178,01-00-01,77 ST,6,IRT,1/2/20,8:00:00,REGULAR,7417178,26629086
R247,R178,01-00-01,77 ST,6,IRT,1/2/20,12:00:00,REGULAR,7417270,26629792
R247,R178,01-00-01,77 ST,6,IRT,1/2/20,16:00:00,REGULAR,7417492,26630325
R247,R178,01-00-01,77 ST,6,IRT,1/2/20,20:00:00,REGULAR,7417807,26631033
R247,R178,01-00-01,77 ST,6,IRT,1/3/20,0:00:00,REGULAR,7417950,26631177
R247,R178,01-00-01,77 ST,6,IRT,1/3/20,4:00:00,REGULAR,7417972,26631190
R247,R178,01-00-01,77 ST,6,IRT,1/3/20,8:00:00,REGULAR,7418020,26631462
R247,R178,01-00-01,77 ST,6,IRT,1/3/20,12:00:00,REGULAR,7418127,26632215
R247,R178,01-00-01,77 ST,6,IRT,1/3/20,16:00:00,REGULAR,7418389,26632805
R247,R178,01-00-01,77 ST,6,IRT,1/3/20,20:00:00,REGULAR,7418693,26633489
R247,R178,01-00-02,77 ST,6,IRT,12/28/19,0:00:00,REGULAR,1132778,2267973
R247,R178,01-00-02,77 ST,6,IRT,12/28/19,4:00:00,REGULAR,1132798,2267988
R247,R178,01-00-02,77 ST,6,IRT,12/28/19,8:00:00,REGULAR,1132808,2268045
R247,R178,01-00-02,77 ST,6,IRT,12/28/19,12:00:00,REGULAR,1132840,2268222
R247,R178,01-00-02,77 ST,6,IRT,12/28/19,16:00:00,REGULAR,1132949,2268557
R247,R178,01-00-02,77 ST,6,IRT,12/28/19,20:00:00,REGULAR,1133125,2268819
R247,R178,01-00-02,77 ST,6,IRT,12/29/19,0:00:00,REGULAR,1133228,2268895
R247,R178,01-00-02,77 ST,6,IRT,12/29/19,4:00:00,REGULAR,1133252,2268906
R247,R178,01-00-02,77 ST,6,IRT,12/29/19,8:00:00,REGULAR,1133263,2268941
R247,R178,01-00-02,77 ST,6,IRT,12/29/19,12:00:00,REGULAR,1133290,2269120
R247,R178,01-00-02,77 ST,6,IRT,12/29/19,16:00:00,REGULAR,1133383,2269410
R247,R178,01-00-02,77 ST,6,IRT,12/29/19,20:00:00,REGULAR,1133523,2269573
R247,R178,01-00-02,77 ST,6,IRT,12/30/19,0:00:00,REGULAR,1133607,2269644
R247,R178,01-00-02,77 ST,6,IRT,12/30/19,4:00:00,REGULAR,1133624,2269653
R247,R178,01-00-02,77 ST,6,IRT,12/30/19,8:00:00,REGULAR,1133646,2269852
R247,R178,01-00-02,77 ST,6,IRT,12/30/19,12:00:00,REGULAR,1133731,2270402
R247,R178,01-00-02,77 ST,6,IRT,12/30/19,16:00:00,REGULAR,1133925,2270839
R247,R178,01-00-02,77 ST,6,IRT,12/30/19,20:00:00,REGULAR,1134180,2271198
R247,R178,01-00-02,77 ST,6,IRT,12/31/19,0:00:00,REGULAR,1134288,2271255
R247,R178,01-00-02,77 ST,6,IRT,12/31/19,4:00:00,REGULAR,1134299,2271266
R247,R178,01-00-02,77 ST,6,IRT,12/31/19,8:00:00,REGULAR,1134316,2271411
R247,R178,01-00-02,77 ST,6,IRT,12/31/19,12:00:00,REGULAR,1134400,2271792
R247,R178,01-00-02,77 ST,6,IRT,12/31/19,16:00:00,REGULAR,1134613,2272133
R247,R178,01-00-02,77 ST,6,IRT,12/31/19,20:00:00,REGULAR,1134811,2272353
R247,R178,01-00-02,77 ST,6,IRT,1/1/20,0:00:00,REGULAR,1134883,2272436
R247,R178,01-00-02,77 ST,6,IRT,1/1/20,4:00:00,REGULAR,1134927,2272498
R247,R178,01-00-02,77 ST,6,IRT,1/1/20,8:00:00,REGULAR,1134939,2272531
R247,R178,01-00-02,77 ST,6,IRT,1/1/20,12:00:00,REGULAR,1134954,2272595
R247,R178,01-00-02,77 ST,6,IRT,1/1/20,16:00:00,REGULAR,1135017,2272732
R247,R178,01-00-02,77 ST,6,IRT,1/1/20,20:00:00,REGULAR,1135119,2272864
